주소,간이약도,관리자,Tel,위도lon,경도lat 
경상남도 합천군 가야면 가야산로 1200,토신골탐방지원센터(상왕봉 탐방로 입구),김용휘,055-930-8000,35.8121755993,128.1033253588
경상북도 안동시 은행나무로 106-6,옥동주공3아파트 관리실 입구,정왕진,054-857-7991,36.5667265026,128.6952045526
"인천광역시 연수구 청량로185번길 16 (옥련동, 서해아파트)",정문 경비실,김범기,032-832-1867,37.4237372012,126.6521375260
광주광역시 북구 석곡로 6 (청풍탐방지원센터),청풍탐방지원센터 내(출입구 좌측),김아론,010-6370-3292,35.1626043748,126.9622510686
전라남도 고흥군 점암면 능가사로 292 (고흥분소 사무실),다도해해상국립공원 고흥분소(팔영산),염기원,061-550-0900,34.6413554845,127.4145761187
경기도 부천시 상오정로 169  (오정동),지하1층홀,이용찬,032-340-5388,37.5290269001,126.7965002236
광주광역시 광산구 풍영로329번길 50,수완휴먼시아7단지 관리사무소,박재홍,062-954-0577,35.2014114702,126.8128700105
광주광역시 광산구 풍영로329번길 51,관리사무소,박환식,010-2680-0269,35.1993186529,126.8117854957
광주광역시 광산구 하남대로261번길 11,수완휴먼시아3단지 관리사무소,문영섭,062-961-7626,35.1805253200,126.8200143756
광주광역시 광산구 비아로 185,비아호반아파트 관리사무소,이상조,062-953-0588,35.2238760519,126.8244574234
충청남도 태안군 원북면 옥파로 1152-37 0,입구,육관수,041-674-3224,36.8979962257,126.2072633065
경상남도 통영시 도남로 117,동부사무소 2층,담당자,055-640-2400,34.8311278368,128.4176256366
인천광역시 미추홀구 매소홀로 553 문학초등학교 본관동1층 중앙현관,문학초등학교 본관동1층 중앙현관,변성순,032-425-2801,37.4398904075,126.6828345458
인천광역시 계양구 주부토로 588 계산고등학교,1층 중앙현관,신은경,032-627-9412,37.54719051,126.7297630387
서울특별시 동작구 대방동15길 29,본관 입구,김우림,070-4050-4904,37.5027635308,126.9233450355
인천광역시 계양구 계산새로33번길 5 안남중학교,본관1층 중앙현관,노경선,032-549-4784,37.5391351592,126.7311498933
"인천광역시 남동구 논현로 105 (논햔동, 논현휴먼시아5단지)",제5경비초소내,관리과장 이진우,032-441-3382,37.4039091519,126.7179810359
"인천광역시 연수구 한진로 12 (옥련동,인천능허대초등학교)",본관 1층 중앙현관,장윤일,032-837-7200,37.4241237140,126.6487781253
인천광역시 서구 여우재로112번길 7,본관1층 중앙현관,김미현,032-578-5825,37.4892412364,126.6871986761
"인천광역시 연수구 함박뫼로 203 (연수동,인천중학교)",본관 1층 중앙 현관,오경아,032-812-1946,37.4214574755,126.6889359174
"인천광역시 연수구 비류대로506번길 14 (연수동,인천여자고등학교)",본관 1층 중앙 현관,방정미,032-810-6310,37.4224295091,126.6899034593
인천광역시 남동구 호구포로 858 3동 경비실내,3동 경비실내,반 종 일,032-465-3488,37.4583324912,126.7207751539
인천광역시 미추홀구 문화로 11 인명여자고등학교 본관1층 중앙현관 정면,인명여자고등학교 본관1층 중앙현관 정면,정현자,0324396083,37.4403714418,126.6972241179
서울특별시 도봉구 방학로 32-28,보건실 출입문 옆,이유미,02-955-9155,37.6640729624,127.0494607348
서울특별시 도봉구 시루봉로2길 34,1층 강의실 앞,김의수,010-9072-9961,37.6542167008,127.0290787055
경기도 포천시 가산면 선마로 223 가산보건지소,환자대기실,,538-4344,37.8482100735,127.1861447443
경기도 여주시 가남읍 경충대로 1472-19 가남현진에버빌아파트,가남현진에버빌 1단지 관리사무소,최선묵,884-6084,37.2165751689,127.5348194347
경기도 여주시 세종로 254-16 호반리젠시빌아파트,호반리젠시빌아파트 관리사무소,최남순,031-887-0024,37.2743641016,127.6327158326
경기도 수원시 영통구 영통로200번길 20,109동2라인1층승강기앞,권혁찬,031-202-9103,37.2433258434,127.0577094516
경기도 여주시 도예로 40 이안강변아파트,이안강변아파트관리사무소,경인수,0318834701,37.3061375232,127.6414687936
서울특별시 동대문구 천호대로4길 21 서울풍물시장,풍물시장후문,정명필,02-2232-3367,37.5730763444,127.0252322866
충청남도 보령시 주공로 65 3차아파트 관리사무소,관리사무소 출입문 옆,최 정 형,041-936-4681,36.3418628907,126.6071509053
서울특별시 구로구 가마산로27길 69,1층 중앙현관 통로,윤미경,02-862-7192,37.4996591332,126.8897652795
제주특별자치도 제주시 연북로 70 에코그린아파트관리사무소,에코그린아파트관리사무소,유승봉,064-745-0968,33.4815438116,126.4887519187
제주특별자치도 제주시 인다1길 20 아라아이파크,관리사무소 안,최세성,064-725-9922,33.4758221949,126.5506125408
전라북도 진안군 진안읍 쇠징계로 43-22 게이트볼장내,게이트볼장 내,김종섭,0634332253,35.8019048933,127.4332655214
경기도 여주시 세종로 10 여주시청별관,여주시청 별관 사무실내,직원,031-887-2078,37.2971888295,127.6367506272
"경기도 수원시 권선구 권선로694번길 26 (권선동, 권선 SK VIEW)",2초소 경비실,이경수,031-221-6262,37.2579267577,127.0260038000
"경기도 이천시 증신로 309 (송정동, 동양아파트)",관리사무소 내,권윤찬,010-5176-2665,37.2972789279,127.4364243076
경상남도 사천시 주공1길 50,벌리주공아파트2단지관리사무소,정 인 호,055-833-7244,34.9395580562,128.0880242961
경상북도 포항시 북구 새천년대로1075번길 32,중앙현관 숙직실앞,정은수,0542305777,36.0668173914,129.3689614992
"강원도 양양군 손양면 공항로 201, 양양국제공항",여객청사 1층 국제선도착 세관검사 앞,서용준,033-670-7100,38.0587419099,128.6629024501
서울특별시 구로구 신도림로19길 44,1층 중앙현관 앞,박수정,070-8277-6471,37.5119858316,126.8832547742
광주광역시 광산구 왕버들로251번길 27,후문 경비초소,관리사무소장,0629610422,35.1983919631,126.8365473083
경기도 군포시 청백리길 18,군포시장애인복지관 1층 로비,지윤호,031-390-8961,37.3625858198,126.9332319165
경기도 수원시 장안구 정자천로188번길 64 343동,"343동 1층 입구(3,4호 사이)",김형곤,031-269-2297,37.2931854625,126.9962376822
경기도 수원시 장안구 정자천로188번길 64 348동,"348동 1층 입구(3,4호 사이)",김형곤,031-269-2297,37.2931854625,126.9962376822
"대전광역시 서구 둔산로 201 관리동 (둔산동, 국화아파트)",관리동 1층 현관,이충민,010-***-****,36.3551057097,127.3981418808
전라남도 신안군 압해읍 원신장길 38 남부교회,압해남부교회,,061-270-0577,34.8270425126,126.3496364659
전라남도 신안군 압해읍 압해로 1846-1 송공여객선터미널,송공항매표소,,061-270-0577,34.8484983566,126.2268941833
전라남도 신안군 압해읍 대벌길 27-5 중앙교회,대천중앙교회,,061-270-0577,34.8593990591,126.2720819254
"경상남도 창원시 진해구 냉천로 257 (자은동, 엘에이치자은프라임)",관리사무소,박기란,055-547-8140,35.1518500109,128.7213493153
"경상남도 창원시 진해구 충무로 69, 중앙동주민센터 (수송동)",주민센터 민원실,차금진,055-548-6100,35.1518367860,128.6556733575
충청남도 금산군 금산읍 비단로 338 주공2차아파트,금산주공2차아파트관리사무소앞,김홍겸,010-3481-2738,36.1112568904,127.4853415870
경기도 군포시 번영로550번길 25,재궁동주민센터,지윤호,031-390-8961,37.358440627,126.9390419743
"경기도 수원시 장안구 송정로 83 (송죽동, 수원로얄팰리스)",105동 출입구,박천기,031-888-7222,37.2960866482,127.0071324374
부산광역시 북구 금곡대로 268,관리사무실 내,박민혁,051-362-1710,35.2314061195,129.0151333565
경상북도 포항시 북구 흥해읍 달전로 215,본관 1층 교무실 앞 복도,김미정,0542610792,36.0634681197,129.3346913152
충청북도 청주시 청원구 오창읍 과학산업3로 238,오창읍산단관리과,,2019-8623,36.7101821327,127.4314471452
경상남도 하동군 진교면 진교중앙길 14-8 진교시외버스터미널,진교시외버스터미널,류미연,010-8533-6574,35.0295276682,127.9031712991
경상남도 합천군 가야면 가조가야로 2871,해인중학교 중앙현관,김민준,055-932-7698,35.7588288667,128.1357008734
경상북도 영주시 영주로 334 관리사무소,청구하이츠 아파트 관리사무소,유재구,054-634-0034,36.8212900051,128.6354751791
경기도 수원시 장안구 정자천로188번길 64 334동,"334동 1층 입구(3,4호 사이)",김형곤,031-269-2297,37.2931854625,126.9962376822
경기도 용인시 처인구 포곡읍 에버랜드로 199,영빈관보관실,허진영,031-320-5118,37.2913088278,127.2148269329
경기도 고양시 덕양구 화신로 284,807동 1층,임금섭(기전과장),031-971-8366,37.6320900637,126.8285386947
경기도 고양시 덕양구 화신로 284,809동 1층,임금섭(기전과장),031-971-8366,37.6320900637,126.8285386947
경기도 고양시 덕양구 백양로 126,1105동 1층,이광균,031-962-4965,37.6356394974,126.8358267208
경기도 고양시 덕양구 백양로 126,1109동 1층,이광균,031-962-4965,37.6356394974,126.8358267208
전라남도 함평군 함평읍 들샘길 36 함평천지종합복지관,복지관 1층 복도,정대영,010-3556-3750,35.0613095952,126.5218262050
경상남도 산청군 산청읍 덕계로 16,대기실,김지원,010-8951-3092,35.4161975256,127.8787916920
부산광역시 강서구 명지국제5로 109 명지2차 금강펜테리움 센트럴파크,상가동 내 관리사무소 앞,김영일,051-207-0401,35.1040698225,128.9207427235
"부산광역시 강서구 명지국제5로 30 (명지동, 명지 대방노블랜드 오션뷰1차)",관리사무소 내,김관식,051-271-5561,35.0965470165,128.9208896882
전라남도 장성군 북하면 백양로 1151,백양탐방지원센터,전국선,010-9266-7804,35.4293429973,126.8795226865
부산광역시 북구 화명대로 42 서울우리요양병원,7층 간호사실,조창영,051-361-3500,35.2344064172,129.0126769959
경기도 군포시 송부로 241 부곡중앙중학교,부곡중앙중학교 1층현관,이선희,031-462-7668,37.3236028303,126.9383435342
경기도 안산시 단원구 당곡로 33 프라움시티 207호,사무실 내,인해양,010-***-****,37.3203533600,126.8333684673
경상남도 창원시 마산회원구 내서읍 중리상곡로 20,관리사무소,하윤수,055-232-4818,35.2435113848,128.5051126944
경기도 여주시 점동면 청안로 118 여주경찰서 점동파출소,점동파출소,김순기,031-882-8112,37.2049525299,127.6616941971
경상남도 산청군 신등면 신차로 576,민원대기실,민희진,010-2750-4573,35.3828259430,128.0066021013
경기도 여주시 산북면 금품1로 2 여주경찰서 산북파출소,산북파출소,권오진,031-883-1112,37.4047405266,127.4436021785
경기도 용인시 수지구 풍덕천로 75,"706동 1,2라인 1층 승강기 앞",황석주,264-4323,37.3205027598,127.0904907478
경기도 용인시 수지구 진산로66번길 27,705동승강기 출입문 옆 벽(1층현관),박승영,031-266-8372,37.3146180934,127.0984120702
전라남도 구례군 마산면 화엄사로 402-25,연수원 본관동 출입구,신성식,,35.2422710258,127.4901017019
경상남도 산청군 시천면 세석길 217-26,거림탐방지원센터,김대현,055-970-1000,35.2851701228,127.7183334135
"부산광역시 수영구 장대골로 20-5 (광안동, 홀트수영종합사회복지관)",1층 왼쪽 출입문 뒤 장착,김강민,051-760-3611,35.1593481549,129.1110288386
인천광역시 계양구 장제로 894 임학중학교,1층 중앙현관,방선희,032-628-9387,37.546096799,126.7402455017
경상북도 울진군 매화면 망양정로 285-34,울진군노인요양원 신관2층 복도,윤춘교,054-781-8855,36.9065609049,129.4121745291
울산광역시 동구 봉수로 270,전하아이파크 103동 지하1층 관리사무소,김종언,052-234-7739,35.5100221521,129.4232303436
인천광역시 중구 인중로 146 인천여자상업고등학교,본관동 1층 중앙현관,김정자,032-761-2352,37.4679849665,126.6276197859
서울특별시 도봉구 도봉로136다길 4,3층 보건실 옆,이미선,02-997-5885,37.6594669924,127.0429524758
대구광역시 달서구 새동네로 34,관리사무소,송기식,053-585-8842,35.8516171754,128.5193338463
"서울특별시 도봉구 평화로15번길 9-25, 서울도솔학교 (도봉동)",1층 교무실,윤미남,010-3687-1139,37.6948396108,127.0424422315
인천광역시 중구 연안부두로33번길 53 인천연안초등학교,본관 1층 중앙현관,김선화,032-883-2249,37.4538827077,126.6076626597
경기도 용인시 처인구 포곡읍 에버랜드로 199,힐사이드 호스텔,허진영,031-320-5118,37.2982880943,127.2020220833
경기도 용인시 처인구 포곡읍 에버랜드로 199,에버랜드 내 판다사,허진영,031-320-5118,37.2929110238,127.2026042475
경기도 포천시 관인면 관인로 14 관인보건지소,환자대기실,,538-4684,38.1577316987,127.2507094925
경기도 수원시 영통구 영통로290번길 25,관리사무소 건물,정성진,031-206-2014,37.2516056945,127.0627249222
경기도 수원시 영통구 센트럴타운로 76,정문 경비실,김석태,031-216-6456,37.2918033194,127.0546698956
경기도 수원시 영통구 광교마을로 156,관리사무소,황은경,031-215-7033,37.2953976845,127.0837343143
"강원도 양양군 손양면 공항로 201, 양양국제공항",청사2층 중앙계단 앞,서용준,033-670-7100,38.0587419099,128.6629024501
서울특별시 강서구 하늘길 76 국내선 2층 격리대합실,국내선 2층 격리대합실(서편),서향식,02-2660-4047,37.5618125053,126.7986611565
경상북도 영주시 풍기읍 죽령로1720번길 76 국립공원관리공단소백산국립공원사무소,국립공원관리공단소백산국립공원사무소,유민상,054-638-6196,36.9097130531,128.4593324207
전라남도 신안군 도초면 돈목길 33-1 다도해해상국립공원 우이도,다도해해상국립공원 서부사무소 우이도,강현정,061-284-9116,34.6015917908,125.8242065069
경기도 고양시 덕양구 화신로 105,경비관리실8초소,백남도,031-979-4100,37.6227013593,126.8384469126
경기도 고양시 덕양구 화신로 105,경비관리실10초소,백남도,031-979-4100,37.6227013593,126.8384469126
경기도 고양시 덕양구 화신로 105,경비관리실11초소,백남도,031-979-4100,37.6227013593,126.8384469126
전라남도 여수시 돌산읍 향일암로 164 다도해해상국립공원사무소(여수분소),사무실,정병곤,061-644-3650,34.5997098922,127.8026593067
대구광역시 남구 중앙대로 219 대구교육대학교 내 제1체육관,대구교육대학교 내 제1체육관,김지연,053-620-1286,35.8511327853,128.5892301218
전라남도 여수시 삼산면 거문도등대길 62 다도해해상국립공원(거문도분소),거문도분소 사무실,심요한,061-666-9900,34.0191685421,127.3035548651
경상북도 영주시 부석면 부석사로 314 소백산국립공원 부석분소,소백산국립공원사무소 부석분소,유민상,054-638-6196,36.9944903833,128.6796140005
광주광역시 광산구 소촌로 90-36,정광중학교,양성희,062-949-5502,35.1548882487,126.7957150868
강원도 동해시 삼화로 538 무릉계곡 관리사무소,관리사무소 1층 현관,김문수,539-3700,37.4634725771,129.0193931958
경기도 평택시 진위면 진위서로 63 지원동 1층 현관,지원동 1층 현관 앞,이경아,010-9744-3296,37.1095513359,127.0713560738
"인천광역시 연수구 원인재로 116 (연수동,인천연성초등학교)",본관 1층 중앙현관,한창오,032-821-3227,37.4090265379,126.6792960173
"경기도 수원시 장안구 정자로42번길 52 (천천동, 비단마을 베스트타운)",관리동 1층 어린이집 입구 오른쪽 벽면,최광복,031-268-2024,37.2987705194,126.9815750099
"경기도 수원시 장안구 금당로39번길 34 (조원동, 주공뉴타운)","203동 1층(3,4라인)",김성관,031-259-9071,37.3031494755,127.0189403997
"경기도 수원시 장안구 금당로39번길 34 (조원동, 주공뉴타운)","206동 1층(3,4라인)",김성관,031-259-9071,37.3031494755,127.0189403997
"경기도 수원시 장안구 장안로 395 (이목동, 수원 장안 STX KAN 1단지아파트)",1블럭 관리사무소 내,이원석,031-269-6669,37.3143983321,126.9832588489
경기도 고양시 덕양구 화중로 220,관리사무소 입구,김명환,031-967-8868,37.6463210798,126.8374326251
경기도 수원시 영통구 매영로310번길 27,"641동 1,2호 라인 1층",박옥금,031-204-7665,37.2523066083,127.0662152628
"경기도 이천시 갈산로 42 (증포동, 신한아파트)",108동 앞 경비초소,장명미,031-634-0637,37.2881016329,127.4568008559
"경기도 이천시 증신로291번길 149 (송정동, 이천 송정동 신일아파트)",신일아파트2차 아파트 입구 경비실 내,양상석,010-8913-8345,37.2951868628,127.4319686330
경기도 군포시 호수로 97 반월호수공원 버스정류장,반월호수공원 버스정류장,지윤호,031-390-8961,37.3251898855,126.8902824113
경기도 용인시 기흥구 동백평촌로 70 호수마을 상록롯데캐슬아파트,정문(입구),윤호진,010-6850-3370,37.2793981069,127.1557332926
강원도 홍천군 홍천읍 너브내길 123,홍천군종합사회복지관,,033-430-4125,37.6917586322,127.8914675974
"경기도 수원시 권선구 권선로694번길 26 (권선동, 권선 SK VIEW)",3초소 경비실,이경수,031-221-6262,37.2579267577,127.0260038000
강원도 횡성군 횡성읍 횡성로 377 횡성시외버스터미널,횡성시외버스터미널,김순화,010-2110-3024,37.4874378621,127.9840957463
경상북도 포항시 북구 청하면 청하로151번길 26,본관 중앙현관 ,이미영,0542324014,36.1941765812,129.3348328671
"광주광역시 서구 풍암순환로 38 (풍암동, 한신아파트경비실내)",한신아파트(풍암동)경비실,윤영현,681-4303,35.1220065986,126.8754526561
서울특별시 구로구 서해안로24길 22,1층 입구,김미혜,02-2688-2646,37.4896863391,126.8391137443
서울특별시 구로구 구일로 90-133,보건실 앞,윤효정,02-2107-9130,37.4953002740,126.8737682553
경상북도 영주시 가흥로 343 영주가흥3단지주공아파트,영주가흥3단지주공아파트,김환희,054-631-4000,36.8265484392,128.6109165195
경상남도 사천시 사남면 월성1길 89,사천리가아파트관리사무소,허태민,055-852-3070,35.0630395456,128.0775625702
울산광역시 북구 동대8길 40 북구노인복지관,북구노인복지관,이은주,052-241-8123,35.6312714823,129.3538942739
대구광역시 달서구 월곡로 60,이비인후과 앞,이지혜,053-630-7840,35.8028293529,128.5517101078
서울특별시 구로구 구일로8길 63,관리사무실 옆,윤영환,02-856-5993,37.4963557477,126.8732960491
충청북도 청주시 청원구 내수읍 덕암2길 162,제1산림문화휴양관객실주변,전미윤/황종대,043-216-0052,36.6782080775,127.5469417186
"대전광역시 서구 계룡로536번길 9 관리동 1층 출입구 우측 (괴정동, 한신아파트)",관리동 1층 출입구 우측,김용정,0425350400,36.3407602812,127.3822960560
"대전광역시 서구 문정로 131 경로당 출입문 내부 (탄방동, 공작한양아파트)",공작한양아파트 경로당 출입문 내부,문 영 점,042-482-6252,36.3482807444,127.3941769208
제주특별자치도 서귀포시 김정문화로 32,1층도서관 입구,이명오,064-760-3683,33.2514173933,126.5076218419
경기도 광명시 소하로 189 214동,214동 승강기 옆,김민지 ,02-897-7337,37.4474364285,126.8934989669
경상남도 거제시 거제대로 3699,중앙현관,최조애,680-1120,34.8872618923,128.6905062073
경상남도 창원시 의창구 북면 무동서로 76 (창원무동 STX KAN 1차아파트),관리사무소,김현호,055-294-9321,35.3226344161,128.5826065184
"경상남도 창원시 의창구 경상남도 창원시 성산구 원이대로883번길 6 (가음동, 은아아파트)",관리사무소,박상순,055-261-8297,35.2072998886,128.6946419324
충청북도 청주시 흥덕구 오송읍 오송생명2로 187 시험검정동,시험검정동,한민이,043-719-1226,36.6394323936,127.3301653256
충청북도 청주시 흥덕구 오송읍 오송생명2로 187 식품의약품안전평가원 연구심사동(G8),연구심사동(G8),심규현,043-719-1226,36.6392458343,127.3272348916
충청북도 청주시 청원구 팔결로 121,민원실,연승윤,0432018933,36.6941283061,127.4811561453
대구광역시 달서구 상화로58길 35,관리사무소,지현수,053-638-3434,35.8073756932,128.5460458972
경기도 고양시 일산동구 정발산로42번길 24 신성하이네스트,1층 승강기앞,관리사무소,,37.6561837651,126.7737876891
경상북도 포항시 북구 용흥로292번길 33,본관 숙직실 앞,변선정,0542460736,36.0461955084,129.3517680070
경상남도 거제시 능포로 208,본관 1층 중앙현관,신현정,681-9003,34.8809698974,128.7371212053
경기도 수원시 장안구 경수대로 893 3층,3층 취재기자실,김종민,031-248-9074,37.2996473526,127.0098351970
"경기도 수원시 장안구 만석로20번길 28, 636동 (정자동, 청솔마을 한라 아파트)","636동 입구(3,4호라인)",허윤탁,031-268-2214,37.2938584717,126.9844092494
경기도 고양시 덕양구 백양로 126,1108동 1층,이광균,031-962-4965,37.6356394974,126.8358267208
경기도 용인시 처인구 포곡읍 금어로 317,1층 안네데스크 옆,김헌우,010-8779-4014,37.2763836687,127.2457950171
"인천광역시 연수구 컨벤시아대로130번길 80 (송도동, 송도 푸르지오 하버뷰)",정문 보안실,박진용,01052945982,37.3982842991,126.6397599609
"경상남도 창원시 진해구 명동로 62, 진해해양공원 (명동)",해양공원(해전사체험관),윤성진,712-0425,35.0920662643,128.7203000514
"경상남도 창원시 진해구 진해대로 1101, 진해 종합사회복지관 (풍호동)",복지관 내 헬스장 앞,오성일,540-0100,35.1342072417,128.7104652293
인천광역시 서구 완정로188번길 12,본관동 1층 중앙현관,남준양,032-627-7420,37.6039674371,126.6575693094
"인천광역시 연수구 인천타워대로54번길 46 (송도동,인천해송초등학교)",별관 1층 중앙현관,하영미,032-833-0946,37.3809088664,126.6492868817
인천광역시 계양구 경명대로 1005 계산초등학교,본관동 1층 중앙현관,김현경,032-541-4792,37.5442640597,126.7174395865
인천광역시 계양구 병방로 2 인천병방초등학교,신관 1층 도서관 입구,최정임,032-548-8345,37.5468589444,126.7410213984
인천광역시 계양구 안남로 607 인천효성중학교,본관 1층 중앙현관,서혜영,032-547-5037,37.5374531788,126.7102737417
경상북도 영주시 대학로 130-1 영주가흥1관리소 앞,주택관리공단 영주가흥1관리소 앞,김환희,054-631-4000,36.8090284298,128.6109751071
"충청남도 당진시 면천면 면천로 623, 면천면사무소",민원 센터 내,이현정,010-7466-0325,36.8162081051,126.6638677633
"충청남도 당진시 우강면 평야5로 289-1, 대포보건진료소",출입문 정면,최선원,010-9478-9404,36.8100090394,126.8133464365
대구광역시 달서구 와룡로49길 30,특수구급차 내,이현지,053-667-5625,35.8293328526,128.5324313926
부산광역시 북구 덕천로234번길 34,전기실 입구,이원효,051-342-0054,35.2098425531,129.0278993233
부산광역시 금정구 기찰로 107,민원실,행정민원팀장,051-519-5243,35.2405198667,129.0938123244
경기도 여주시 세종로 50 여주경찰서 유치장,여주경찰서유치장,최종진,031-887-0339,37.2932056591,127.6355306347
"경기도 성남시 분당구 성남대로 449 정자동, 로얄팰리스",B동 1층 출입문 직진 4미터,정영진,0317855555,37.3754053949,127.1103777808
울산광역시 울주군 삼동면 보삼길 550 울산하늘공원,울산하늘공원,심용직,052-255-3800,35.4709360335,129.1338789437
경기도 성남시 중원구 도촌북로 28 (도촌동),1층 로비,김대웅,031-729-6803,37.4164952366,127.1527859466
경상북도 영주시 풍기읍 죽령로1720번길 76 국립공원관리공단소백산국립공원사무소,국립공원관리공단소백산국립공원사무소,유민상,054-638-6196,36.9096681507,128.4593203450
전라남도 신안군 신의면 안산길 114-7 상태교회,상태교회,김수민,0612717024,34.6081666428,126.0772221519
"충청북도 충주시 주덕읍 장록당우길 304, 장록보건진료소",민원대기실,서혜정,043-850-4478,36.9933139783,127.7775805909
경상남도 남해군 상주면 남해대로 918-13,금산탐방지원센터내,여동준,010-3879-7467,34.7400186469,127.9862328489
강원도 속초시 설악산로 833 설악동탐방안내소,설악동탐방안내소,김민성,033-801-0966,38.1671229308,128.5172578113
전라남도 구례군 산동면 노고단로 1351,지리산국립공원노고단대피소,김정태,061-780-7700,35.316545343,127.537373318
"인천광역시 연수구 원인재로 116 (동춘동,인천연성초등학교)",2층 체육관,한창오,032-821-3227,37.4090265379,126.6792960173
인천광역시 서구 심곡로188번길 21,본관 1층 현관,김민서,032-569-8837,37.5489075817,126.6839438965
인천광역시 서구 승학로572번길 22,본관 2층 보건실,최은경,,37.5646993968,126.6849909504
인천광역시 서구 검단로744번1길 50,5층 방과후센터 옆,김교진,032-628-6655,37.6139411434,126.6894089497
인천광역시 서구 마전로 74,본관동 1층 중앙현관,정인숙,032-569-4163,37.6141690151,126.6546909905
인천광역시 서구 고산후로 377,본관 1층 중앙현관,배미영,032-568-2206,37.6164265957,126.6944457132
인천광역시 서구 고산후로 377,후관 2층 과학실,배미영,032-568-2206,37.6164265957,126.6944457132
인천광역시 계양구 계산새로33번길 5 안남중학교,강당 출입구 안쪽,노경선,032-549-4784,37.5391351592,126.7311498933
인천광역시 계양구 아나지로308번길 9 안남고등학교,본관 1층 중앙현관,채연미,032-555-4280,37.5250379204,126.7271279164
경기도 포천시 창수면 창동로 15 오가리진료소,환자대기실,,533-0276,38.0216119626,127.1860859937
전라남도 여수시 여서2로 39,관리사무소,김영후,061-651-2005,34.7518977459,127.7062014626
"경기도 고양시 일산동구 고풍로 72-11  (풍동, 성원아파트)",306동 1층,조성호,010-6301-3632,37.6653501444,126.794355984
"경기도 용인시 처인구 금학로 520 (마평동, 푸른마을용인자이)",101동 3~4라인,최용석,031-335-7251,37.2343757687,127.2189326826
"경기도 용인시 처인구 금학로 520 (마평동, 푸른마을용인자이)",104동 1~2라인,최용석,031-335-7251,37.2343757687,127.2189326826
"경기도 용인시 처인구 금학로 520 (마평동, 푸른마을용인자이)",105동 5~6라인,최용석,031-335-7251,37.2343757687,127.2189326826
경상남도 통영시 안개4길 94 무전동,복지관1층,김명수,010-4585-2852,34.8592342173,128.4323969018
충청남도 당진시 시청1로 1,청사4층 사회복지과 입구,김민석,010-6476-5421,36.8897399814,126.6459689074
충청남도 당진시 합덕읍 예덕로 403,민원봉사실 창가 옆,이진형,041-360-8010,36.8099070088,126.7640375386
충청남도 당진시 시청1로 1,대강당 입구 좌측 벽,김민석,010-6476-5421,36.8897399814,126.6459689074
인천광역시 연수구 경원대로 지하 180 동춘역,대합실,노창형,032-814-5702,37.4049074092,126.6807457309
전라북도 무주군 설천면 무설로 700 기곡수련원,기곡수련원 내,류진,063-322-8001,36.0163248728,127.7160087003
경상북도 포항시 북구 새천년대로 606,1층 중앙현관 출입문,구현수,0542771366,36.0285257420,129.3559631846
전라남도 화순군 화순읍 진각로 363,만연탐방지원센터,성봉권,061-370-5734,35.0821425379,126.9841222582
서울특별시 구로구 디지털로31길 90,관리사무실 입구,한민수,02-856-7146,37.4877317771,126.8918994986
제주특별자치도 제주시 고마로9길 32,1층 현관입구,고택완,064-759-4071,33.5105539756,126.5423911010
제주특별자치도 제주시 도평길 17 도평초등학교,1층중앙현간,김경희,7420974,33.4807596529,126.4472178367
서울특별시 구로구 고척로27바길 7,1층 열람실 내,손용길,02-2615-8200,37.5069150594,126.8456365736
서울특별시 광진구 강변역로 50,동서울터미널 1층 안내실 앞,장덕순,010-9063-3122,37.5345382401,127.0941837112
경상남도 거제시 사등면 가조로 1281-16,1층 1학년교실과 중앙현관사이 복도에 위치,최차용,010-2586-0939,34.9556445813,128.5204499759
경기도 수원시 장안구 경수대로 893 3층,3층 임원실 앞,김종민,031-248-9074,37.2998095486,127.0097224289
경기도 수원시 장안구 조원로 16,관리사무소,김응수,031-247-7196,37.2979807344,127.0212670162
경기도 수원시 영통구 매영로310번길 27,"644동1,2호라인 1층",박옥금,031-204-7665,37.2523066083,127.0662152628
경기도 여주시 여흥로11번길 26 중앙동주민센터,중앙동주민센터 1층로비,이서현,031-887-3414,37.2986938036,127.6289495217
강원도 횡성군 횡성읍 한우로242번길 9 횡성군교육청,횡성군교육지원청 1층 당직실앞,정연철,010-6245-1342,37.4919531001,127.9811155826
강원도 춘천시 영서로 2169,관리사무소 입구,강석우,033-256-0031,37.8583183843,127.7311671156
제주특별자치도 제주시 중앙로8길 18 제주북초등학교,중앙현관,김선영,7574405,33.5150500037,126.5220418782
제주특별자치도 제주시 문연로 13 제주특별자치도의회,의원회관1층,강지원,7412216,33.4902584823,126.4988756348
서울특별시 구로구 서해안로21길 5-12,2층 보건실,이혜옥,02-2613-2787,37.4905377828,126.837135363
"전라북도 익산시 무왕로26길 11-5 (부송동, 우남콤비타운아파트)",관리사무소,황인욱,063-833-6711,35.9593627687,126.9998847133
경기도 김포시 사우로 12,정문 경비실,김철희,031-998-7297,37.6208423322,126.7225326998
"경기도 수원시 장안구 천천로74번길 92, 821동 (정자동, 대월마을대림진흥아파트)",821동 1층(3.4호 사이),안병준,031-268-4685,37.3006238974,126.9882066342
경기도 안산시 상록구 각골로4길 29,상록구 각골로4길29,민경미,070-7162-2698,37.3001129152,126.8695745881
경기도 수원시 영통구 영통로290번길 26,3동 현관앞승강기옆,최대근,031-202-2019,37.2509245771,127.0625890981
