이름,주소,전화번호,경도,위도
죽전역,"경기 용인시 수지구 포은대로 530 (죽전동, 죽전역)",T.031-896-9791,127.1073926,37.32485887
이마트죽전점,"경기 용인시 수지구 포은대로 552 (죽전동, 이마트)",T.031-888-1050,127.1099742,37.32533387
수지구청역,"경기 용인시 수지구 풍덕천로 지하 120 (풍덕천동, 수지구청역)",T.031-8018-7790,127.0946685,37.32249823
용인시립도서관,경기 용인시 처인구 명지로 27,T.031-324-3406,127.1899682,37.23346804
이마트용인점,경기 용인시 처인구 명지로 53,T.031-326-1052,127.1891351,37.23147709
모현도서관,"경기 용인시 처인구 모현읍 백옥대로 2378 (왕산리, 모현도서관)",T.031-324-4351,127.2496428,37.33570373
양지보건지소,"경기 용인시 처인구 양지면 양지로105번길 5 (양지리, 양지면사무소)",T.031-324-5823,127.2799438,37.23578996
용인농촌테마파크방문자센터,경기 용인시 처인구 원삼면 농촌파크로 80-1,T.031-324-4018,127.2967633,37.17289933
용인휴게소인천방향,"경기 용인시 처인구 주북로 66-14 (고림동, 용인휴게소)",T.031-339-3660,127.2383443,37.24854026
용인휴게소 강릉방향,"경기 용인시 처인구 주북로94번길 30-1 (고림동, 용인휴게소)",T.031-339-3663,127.2423278,37.24552136
용인시청,경기 용인시 처인구 중부대로 1199,T.031-324-2661,127.1769667,37.24115498
용인시처인구보건소,"경기 용인시 처인구 중부대로 1199 (삼가동, 용인시청)",T.031-324-4927,127.1769667,37.24115498
에버랜드베이비서비스키즈커버리,"경기 용인시 처인구 포곡읍 에버랜드로 199 (전대리, 삼성에버랜드)",T.031-320-9152,127.213607,37.28959465
포곡보건지소,경기 용인시 처인구 포곡읍 포곡로 258 (삼계리),T.031-324-5522,127.2306417,37.27817788
포곡도서관,"경기 용인시 처인구 포곡읍 포곡로278번길 8 (삼계리, 포곡도서관)",T.031-324-4637,127.2325631,37.27891354
롯데마트 의왕점,"경기 의왕시 계원대학로 7 (내손동, 롯데마트)",T.031-470-2523,126.9728712,37.38054379
의왕시 중앙도서관,"경기 의왕시 골우물길 49 (고천동, 책마루의왕시중앙도서관)",T.031-345-3644,126.9695136,37.34224727
의왕시 청소년수련관,"경기 의왕시 문화공원로 33 (고천동, 꿈누리청소년수련관)",T.031-345-8167,126.9719377,37.34179499
의왕시청,"경기 의왕시 시청로 11 (고천동, 의왕시청)",T.031-345-2312,126.9686917,37.34523842
의왕시보건소,"경기 의왕시 오봉로 34 (고천동, 의왕시보건소)",T.031-345-3592,126.9719936,37.34378729
희망나래장애인복지관,"경기 의왕시 오전로 27 (고천동, 의왕시종합사회복지관)",T.031-467-7300,126.9811148,37.34866355
의왕 조류생태과학관,"경기 의왕시 왕송못동로 209 (월암동, 의왕조류생태과학관)",T.031-8986-7491,126.9503035,37.31088504
의완시 자연학습공원,"경기 의왕시 왕송못동로 307 (월암동, 의왕시자연학습공원)",T.031-345-3835,126.9531471,37.30710897
의왕 철도박물관,"경기 의왕시 철도박물관로 142 (월암동, 철도박물관)",T.031-460-4358,126.9514571,37.31334667
국민건강보험공단의정부지사,경기 의정부시 금오로 64 (금오동),T.031-828-9112,127.0722983,37.75509546
이마트의정부점,"경기 의정부시 민락로 210 (민락동, 이마트)",T.031-850-1234,127.1023644,37.74318501
의정부시보건소 건강증진과,"경기 의정부시 범골로 131 (의정부동, 의정부시보건소)",T.031-870-6076,127.0395576,37.736157
의정부시보건소동부보건과,경기 의정부시 산단로76번길 113-4,T.031-870-6117,127.084424,37.74377208
롯데마트의정부점,"경기 의정부시 산단로76번길 116 (용현동, 롯데마트 의정부점)",T.031-850-2514,127.084272,37.74279126
의정부교도소,경기 의정부시 송산로 1111-76 (고산동),T.031-850-1055,127.091752,37.723846
의정부시청,"경기 의정부시 시민로 1 (의정부동, 의정부시청)",T.031-828-2834,127.0333966,37.738047
코스트코의정부점,"경기 의정부시 용민로489번길 9 (민락동, 코스트코 홀세일 의정부점)",T.031-853-3329,127.119186,37.75127244
의정부정보도서관,"경기 의정부시 의정로 41 (의정부동, 의정부정보도서관겸의회청)",T.031-828-8823,127.0338655,37.73657736
롯데마트장암점,"경기 의정부시 장곡로 224 (장암동, 롯데마트장암점)",T.031-849-2500,127.05306,37.72370535
장암동행정복지센터,"경기 의정부시 장곡로250번길 23 (장암동, 장암동주민센터)",T.031-870-7552,127.0542637,37.7264082
경기도청북부청사,"경기 의정부시 청사로 1 (신곡동, 경기도청북부청사)",T.031-8030-2215,127.0724977,37.74658211
홈플러스의정부점,"경기 의정부시 청사로 38 (금오동, 삼성홈플러스)",T.031-850-8005,127.0710012,37.7521637
의정부시과학도서관,"경기 의정부시 추동로124번길 52 (신곡동, 의정부과학도서관)",T.031-828-8655,127.0691344,37.74472774
회룡역,"경기 의정부시 평화로 363 (호원동, 회룡역)",T.031-872-7744,127.0472189,37.72442214
의정부역,"경기 의정부시 평화로 525 (의정부동, 의정부민자역사)",T.031-872-7788,127.0455465,37.73998833
가능역,"경기 의정부시 평화로 633 (가능동, 가능역)",T.031-842-7788,127.0442204,37.74836776
녹양역,"경기 의정부시 평화로 757 (녹양동, 녹양역)",T.031-878-5769,127.0422738,37.75939806
의정부시어린이도서관,"경기 의정부시 회룡로 79 (호원동, 의정부어린이도서관)",T.031-828-4531,127.0426286,37.72654174
흥선동행정복지센터,"경기 의정부시 흥선로 20 (가능동, 흥선동행정복지센터)",T.031-870-6853,127.0306485,37.7462685
이천시어린이도서관,"경기 이천시 남천로 31 (중리동, 이천시종합복지타운)",T.031-644-4381,127.441254,37.27837177
이천시립효양도서관,"경기 이천시 부발읍 경충대로2250번길 35 (신하리, 이천시립효양도서관)",T.031-644-4396,127.4779379,37.26158099
부발역,"경기 이천시 부발읍 신아로 87 (아미리, 부발역)",T.031-631-3243,127.4903634,37.25985422
이천시청,"경기 이천시 부악로 40 (중리동, 이천시청)",T.031-644-2576,127.4351365,37.27263783
이천시시립도서관,"경기 이천시 설봉로81번길 50 (창전동, 이천시립도서관)",T.031-644-4352,127.4369203,37.2867796
신둔도예촌역,"경기 이천시 신둔면 남정로 55 (남정리, 신둔도예촌역)",T.031-631-8304,127.4052431,37.31556712
이천시육아종합지원센터 아이랑카페 2호점,"경기 이천시 애련정로136번길 84 (창전동, 평생학습북카페)",T.031-637-9847,127.4523175,37.28219634
NC백화점 이천점,"경기 이천시 영창로 165 (창전동, 엔씨백화점)",T.031-8010-8432,127.4410905,37.28192086
이천역,"경기 이천시 이섭대천로 1063 (율현동, 이천역)",T.031-631-9242,127.4423601,37.2645752
이마트이천점,경기 이천시 이섭대천로 1440-50 (증포동),T.031-644-8119,127.4588718,37.29349225
이천시립청미도서관,경기 이천시 장호원읍 서동대로8829번길 53-6 (장호원리),T.031-644-4372,127.6152076,37.1169425
이천시육아 종합지원센터 아이랑카페 1호점,"경기 이천시 중리천로34번길 38 (중리동, 이천시정보보육센터)",T.031-634-9842,127.4410966,37.27861165
국민건강 보험관리공단 이천지사,경기 이천시 증신로 65 (갈산동),T.031-644-0112,127.4583048,37.28337159
이천시보건소,"경기 이천시 증신로153번길 13 (증포동, 이천시보건소)",T.031-644-4081,127.4523301,37.28898172
이천롯데아울렛 백자동 1층,"경기 이천시 호법면 프리미엄아울렛로 177-74 (단천리, 롯데 프리미엄 아울렛)",T.031-887-4067,127.400026,37.24222708
가람도서관,"경기 파주시 가람로116번길 170 (와동동, 가람도서관)",T.031-949-2552,126.7633968,37.7305141
벧엘교회,경기 파주시 경의로 1324 (와동동),T.031-9563-7770,126.7592025,37.7357549
한소망교회,"경기 파주시 경의로 983 (야당동, 한소망교회)",T.031-8071-6004,126.7565329,37.70451091
금릉역,"경기 파주시 금릉역로 85 (금촌동, 금릉역사)",T.031-948-4788,126.765044,37.75222687
이마트파주당하점,"경기 파주시 당하길 10 (당하동, 이마트)",T.031-950-1119,126.7510509,37.74696292
문산역,"경기 파주시 문산읍 문산역로 94 (문산리, 문산역)",T.031-952-7788,126.7875952,37.85458875
홈플러스문산점,"경기 파주시 문산읍 방촌로 1759 (당동리, 홈플러스)",T.031-960-8000,126.7850256,37.86973293
문산행정복지센터,"경기 파주시 문산읍 통일로 1680 (선유리, 문산읍 행정복지센터)",T.031-934-2055,126.791016,37.85675114
금촌역,"경기 파주시 새꽃로 193 (금촌동, 금촌역)",T.031-946-0788,126.7739353,37.76555483
야당역,"경기 파주시 소리천로 10 (야당동, 야당역)",T.031-941-8535,126.7615292,37.71281413
파주중앙도서관,"경기 파주시 쇠재로 33 (금촌동, 파주시립중앙도서관)",T.031-940-5664,126.7707144,37.75001891
교하도서관,"경기 파주시 숲속노을로 256 (동패동, 교하도서관)",T.031-940-5156,126.7123018,37.72332027
운정행정복지센터,"경기 파주시 와석순환로 415 (와동동, 운정 행정복지센터)",T.031-950-1914,126.7513067,37.7240296
운정역,"경기 파주시 운정역길 368 (야당동, 운정역사)",T.031-948-1877,126.7669082,37.72542104
월롱역,"경기 파주시 월롱면 통일로 980 (위전리, 월롱역)",T.031-940-5753,126.7922047,37.79614365
파주역,"경기 파주시 파주읍 주라위길 38 (봉암리, 파주역)",T.031-952-6264,126.7926026,37.81516128
홈플러스운정점2층크린토피아,"경기 파주시 청암로17번길 17 (목동동, 홈플러스 파주운정점)",T.010-3704-4458,126.7367602,37.72956844
파주프리미엄아울렛(신세계),경기 파주시 탄현면 필승로 200,T.031-8071-7031,126.6965024,37.76924444
이마트운정점,"경기 파주시 한울로 123 (동패동, 이마트운정점)",T.031-931-2152,126.745102,37.71038921
롯데아울렛파주,"경기 파주시 회동길 390 (문발동, 롯데프리미엄아울렛)",T.031-960-3199,126.6937614,37.71781969
뉴코아아울렛 평택점,"경기 평택시 경기대로 279 (비전동, 뉴코아 아울렛 백화점)",T.031-650-6712,127.1125048,36.99555685
지제역1호선,경기 평택시 경기대로 777 (지제동),T.031-691-7651,127.0704441,37.01880668
송탄보건소,"경기 평택시 서정로 295 (서정동, 송탄보건소)",T.031-8024-7246,127.0664973,37.06571389
홈플러스 안중점,경기 평택시 안중읍 서동대로 1489 (현화리),T.031-8046-9205,126.9163825,36.99023627
안중읍보건지소,"경기 평택시 안중읍 안현로 400 (안중리, 안중읍사무소)",T.031-8024-8640,126.9320797,36.98571168
평택현화초등학교,"경기 평택시 안중읍 안현로서7길 80 (현화리, 현화초등학교)",T.031-682-4903,126.9189954,36.98236715
지산초록도서관,"경기 평택시 지산로 48 (지산동, 지산초록도서관)",T.031-8024-7457,127.0603416,37.07896588
평택보건소,경기 평택시 평택5로 56 (비전동),T.031-8024-4357,127.1118267,36.99064523
평택시외버스터미널,경기 평택시 평택로 27 (평택동),T.031-652-2617,127.0880917,36.99011344
평택역,"경기 평택시 평택로 51 (평택동, 평택민자역사)",T.031-652-0245,127.0852754,36.99087995
평택항국제여객터미널,"경기 평택시 포승읍 평택항만길 75 (만호리, 평택항 국제여객터미널)",T.031-8024-8963,126.8457349,36.9577229
롯데마트 평택점,"경기 평택시 평택5로 30 (합정동, 롯데마트 평택점)",T.031-8053-2511,127.1117603,36.98836545
포천 반월아트홀,경기 포천시 군내면 청성로 111 (하성북리),T.031-540-6313,127.2117126,37.89553805
홈플러스송우점,"경기 포천시 소흘읍 솔모루로 9 (송우리, 홈플러스)",T.031-540-7004,127.1412781,37.8242865
포천아트밸리,경기 포천시 신북면 아트밸리로 234 (기지리),T.010-9016-6399,127.237854,37.92331077
포천시청,"경기 포천시 중앙로 87 (신읍동, 포천시청)",T.031-538-2135,127.199729,37.89430593
포천시립중앙도서관,"경기 포천시 신북면 중앙로207번길 26 (가채리, 포천시립중앙도서관)",T.031-538-3928,127.206425,37.90526581
포천시보건소,"경기 포천시 포천로 1612 (신읍동, 포천시보건소)",T.031-538-3642,127.2012608,37.90082625
포천병원 분만실,"경기 포천시 포천로 1648 (신읍동, 경기도립병원 포천병원)",T.031-539-9472,127.1982393,37.9033028
이마트 포천점,경기 포천시 호국로 915,T.031-540-1234,127.1604589,37.8477459
나룰도서관,"경기 하남시 덕풍북로 180 (덕풍동, 나룰도서관)",T.031-790-5753,127.2084378,37.55337744
이마트 하남점,"경기 하남시 덕풍서로 70 (덕풍동, 하남풍산지구 이마트)",T.503-1524-1094,127.2053693,37.55275023
미사1동 행정복지센터,"경기 하남시 미사강변남로 59 (망월동, 미사1동 주민센터)",T.031-790-5171,127.2040723,37.56083395
스타필드 하남 1층,"경기 하남시 미사대로 750 (신장동, 스타필드 하남)",T.031-8072-8169,127.2237406,37.54543615
덕풍도서관,"경기 하남시 역말로 14 (덕풍동, 덕풍도서관)",T.031-790-6351,127.2005802,37.53351675
한남시 버스 BRT버스환승센터,경기 하남시 창우로 146 (창우동),T.031-8027-3911,127.2300687,37.53895199
신장도서관,"경기 하남시 하남대로 740 (신장동, 신장도서관)",T.031-790-5754,127.2143771,37.5378796
홈플러스 하남점,"경기 하남시 하남대로 747 (신장동, 하남두산위브파크)",T.010-5525-4465,127.2126313,37.53799597
화성시보건소,"경기 화성시 향남읍 3.1만세로 1055 (발안리, 화성시보건소)",T.031-369-3301,126.9045554,37.12928023
홈플러스 병점점,"경기 화성시 경기대로 985 (병점동, 홈플러스 병점점)",T.031-225-2003,127.0367533,37.20374556
병점1동 행정복지센터,"경기 화성시 경기대로1010번길 11 (병점동, 병점1동 행정복지센터)",T.031-369-4524,127.0456637,37.21888726
화성시청 ,"경기 화성시 남양읍 시청로 159 (남양리, 화성시청)",T.031-369-3461,126.8331572,37.20018958
남양도서관,경기 화성시 남양읍 역골중앙로 143 (남양리),T.031-3569-3677,126.8250353,37.21034286
시립반석산에코스쿨,"경기 화성시 노작로 158 (반송동, 화성동탄 신도시 홍보관)",T.031-369-4406,127.0744653,37.2022014
화성 동탄보건지소,"경기 화성시 노작로 226-9 (석우동, 동탄보건지소)",T.031-369-4375,127.0786,37.20706908
동탄중앙이음터도서관,"경기 화성시 동탄대로시범길 117 (청계동, 동탄중앙초등학교)",T.031-378-7344,127.1112673,37.19928446
두빛나래어린이도서관,"경기 화성시 동탄숲속로 69-14 (능동, 화성동탄 어린이도서관)",T.031-8003-0748,127.0561052,37.20925512
홈플러스동탄점,"경기 화성시 동탄중앙로 200 (반송동, 메타폴리스)",T.031-8015-7125,127.0689474,37.20277638
메타폴리스상가몰B블럭,"경기 화성시 동탄중앙로 220 (반송동, 메타폴리스)",T.031-371-7041,127.0693117,37.20485761
이마트동탄점,"경기 화성시 동탄중앙로 376 (석우동, 화성 동탄 이마트)",T.031-647-1051,127.079723,37.21437561
진안도서관,경기 화성시 병점중앙로 229 (진안동),T.031-224-9977,127.0336057,37.21737026
봉담주민건강지원센터,"경기 화성시 봉담읍 동화새터길 109 (동화리, 봉담주민건강지원센터)",T.031-369-6265,126.9611043,37.21705357
봉담도서관,"경기 화성시 봉담읍 샘마을1길 8-4 (상리, 봉담도서관)",T.031-212-7281,126.9490251,37.21941708
이마트 봉담점,"경기 화성시 봉담읍 효행로 278 (동화리, 이마트)",T.031-228-1250,126.9721968,37.22254229
빅마켓)신영통점,"경기 화성시 삼성1로 333 (반월동, 롯데마트)",T.031-695-2517,127.0664628,37.23043921
화성시서부종합사회복지관 ,경기 화성시 송산면 사강로 145 (사강리),T.031-366-7390,126.7320247,37.21302819
송산도서관,"경기 화성시 송산면 삼일공원로 87 (사강리, 송산도서관)",T.031-355-5798,126.7392486,37.2167806
나래울종합사회복지관,"경기 화성시 여울로2길 33 (능동, 화성시 복합복지타운)",T.031-8015-7491,127.0519115,37.20423987
동탄역SRT,"경기 화성시 동탄역로 지하 151 (오산동, 동탄역사)",T.031-328-9502,127.0954913,37.19986146
화성시정남면행정복지센터,"경기 화성시 정남면 서봉로 998 (신리, 정남면 행정복지센터)",T.031-369-4628,126.9716574,37.1599431
화성아트홀,"경기 화성시 태안로 145 (병점동, 화성시 여성청소년 수련관)",T.031-267-8827,127.0334848,37.20302396
화성시남부종합사회복지관,"경기 화성시 향남읍 행정서로3길 50 (행정리, 화성남부 종합사회복지관)",T.031-366-0888,126.9195179,37.13046651
화성시둥지나래어린이도서관,"경기 화성시 향남읍 행정중앙2로 88 (행정리, 화성향남어린이도서관)",T.031-353-8162,126.9247704,37.12917723
화성시아르딤복지관,경기 화성시 향남읍 도이1길 104 (도이리),T.031-5183-8924,126.9206032,37.13642338
홈플러스화성향남점,"경기 화성시 향남읍 향남로 402 (행정리, 홈플러스 화성향남점)",T.031-8059-8705,126.9218534,37.13073257
화성종합경기타운실내체육관 4번게이트 옆,"경기 화성시 향남읍 향남로 470 (도이리, 화성종합경기타운)",T.031-371-0039,126.9242567,37.13754433
화산동행정복지센터,"경기 화성시 화산중앙로 16 (안녕동, 화산동 행정복지센터)",T.031-369-4613,127.0151167,37.20662675
거제시청,경남 거제시 계룡로 125,T.055-639-3517,128.6208157,34.88052778
청소년수련관,경남 거제시 계룡로 175,T.055-639-8173,128.6188889,34.88480048
거제포로수용소유적공원,경남 거제시 계룡로 61,T.055-639-4179,128.625381,34.87639305
롯데마트거제점,경남 거제시 서간도길 9-9,T.010-6420-6488,128.6910191,34.88834518
거제시보건소,경남 거제시 수양로 504,T.055-639-6292,128.6364526,34.89150507
거제공동육아나눔터,경남 거제시 옥포로25길 16 (옥포동),T.055-688-5816,128.6882745,34.89656509
디큐브백화점,경남 거제시 장평로12,T.055-680-0740,128.616402,34.89105518
조선해양문화관,경남 거제시 지세포해안로41,T.055-639-8270,128.7021938,34.83293869
거창군보건소,경남 거창군 거창읍 거함대로 3079,T.055-940-8363,127.8987279,35.68093608
거창군청,경남 거창군 거창읍 중앙로 103,T.055-940-3254,127.9095326,35.68667478
적십자 병원,경남 거창군 거창읍 중앙로 91,T.055-944-3251,127.9088675,35.6866939
고성군보건소,경남 고성군 고성읍 남포로79번길 103-3,T.055-670-4037,128.3154,34.96956944
고성도서관,경남 고성군 고성읍 동외로 195번길 6,T.055-673-8462,128.3263213,34.97925109
고성군청,경남 고성군 고성읍 성내로 130,T.055-670-2113,128.3223122,34.97273636
고성교회,경남 고성군 고성읍 중앙로25번길 12 (성내리),T.055-674-4064,128.3238929,34.97483115
공룡나라휴게소통영방향,경남 고성군 대가면 통영대전고속도로 29,T.055-674-7028,128.2644465,35.05134035
공룡나라휴게소하남방향,경남 고성군 대가면 통영대전고속도로 32,T.055-674-0494,128.2521165,35.05690432
상족암군립공원사무소,경남 고성군 하이면 자란만로 618,T.055-670-4455,128.1487229,34.90735931
당항포관광지,경남 고성군 회화면 당항만로 1116,T.055-670-4510,128.4009155,35.05826083
회화면사무소,경남 고성군 회화면 배둔로 80,T.055-670-5504,128.3732716,35.06033403
메가마트김해점,경남 김해대로 2492번길 20,T.055-370-6021,128.900949,35.22645809
국립김해박물관,경남 김해시 가야의길 190,T.055-320-6816,128.8726683,35.24363003
장유3동주민센터,경남 김해시 관동로 25,T.055-330-7364,128.80602,35.17753647
장유1동행정복지센터,경남 김해시 금관대로 579,T.055-330-8624,128.8127544,35.20125665
김해문화의전당,경남 김해시 김해대로 2060,T.055-320-1232,128.86941,35.24373349
홈플러스김해점,경남 김해시 김해대로 2078,T.055-320-8114,128.8702625,35.24190364
신세계백화점김해점,경남 김해시 김해대로 2232,T.055-272-1615,128.872242,35.22933965
롯데마트김해점,경남 김해시 김해대로 2330,T.055-632-2500,128.8820494,35.2255461
내외동행정복지센터,경남 김해시 내외로 67,T.055-330-8364,128.8653062,35.2350352
김해서부건강지원센터 ,경남 김해시 능동로 149,T.055-330-4876,128.8072135,35.20234113
장유2동행정복지센터,경남 김해시 능동로 43,T.055-330-7347,128.7977261,35.1971212
장유도서관,경남 김해시 대청리176번길 7,T.055-330-7468,128.7970316,35.19135366
김해낙동강레일파크,경남 김해시 생림면 마사로473번길 41,T.055-333-8357,128.820838,35.37177573
김해가야테마파크,경남 김해시 어방동 993,T.055-340-7990,128.8905817,35.25274408
김해기적의도서관,경남 김해시 율하1로 55,T.055-330-4655,128.8103321,35.1756776
롯데프리미엄아울렛김해점본관 ,경남 김해시 장유로 469,T.055-900-2203,128.8295963,35.18506212
클레이아크김해미술관,경남 김해시 진례면 진례로 275-51,T.055-340-7012,128.7447614,35.25043111
진영한빛도서관,경남 김해시 진영읍 김해대로 440,T.055-330-4835,128.7369109,35.30467825
진영역,경남 김해시 진영읍 김해대로 809,T.055-345-7788,128.7739224,35.29857886
김해농수산물유통센터,경남 김해시 칠산로 128,T.055-310-7015,128.8363829,35.18385027
칠암도서관,경남 김해시 활천로285번길 14,T.055-330-2934,128.9104442,35.24456273
김해중앙교회,경남 김해시 흥동로 7,T.010-5593-4430,128.8688238,35.22272171
남해군보건소,경남 남해군 남해읍 선서로 5,T.055-860-8714,127.9078079,34.83841982
밀양시청,경남 밀양시 밀양대로 2047,T.055-359-5442,128.7475424,35.50359902
밀양보건소,경남 밀양시 삼문중앙로 41,T.055-359-7023,128.7558763,35.48542872
사천공항,경남 사천시 사천읍 사천대로 1971,T.055-831-9315,128.086526,35.091966
이마트사천점,경남 사천시 삼천포 대교로 591,T.055-850-1234,128.0771882,34.950715
사천시보건소,경남 사천시 용현면 시청로 77,T.055-831-3527,128.064206,35.00362094
홈플러스삼천포점,경남 사천시 중앙로 165,T.055-831-8124,128.0799722,34.94053358
산청군청,경남 산청군 산청읍 산엔청로 1,T.055-970-7523,127.8734437,35.41557296
산청군보건의료원,경남 산청군 산청읍 중앙로 97,T.055-970-7523,127.8842356,35.41608129
양산보건소,경남 양산시 삽량로 169,T.055-392-5272,129.0249744,35.33573792
의령군보건소,경남 의령군 의병로8길 16,T.055-570-4036,128.2547694,35.31781999
은하수동산육아종합지원센터,경남 진주시 남강로1463번길 17,T.055-749-3618,128.126396,35.191059
진주시청,경남 진주시 동진로 155,T.055-749-8527,128.1088232,35.18024256
진주시보건소,경남 진주시 월아산로 2026,T.055-749-6690,128.1229024,35.21469811
이마트진주점,경남 진주시 진양호로 477,T.055-749-1052,128.0774149,35.19159667
갤러리아백화점진주점,경남 진주시 진주대로 1095,T.055-791-1033,128.0823228,35.19671051
남지종합복지관,"경남 창녕군 남지읍 복지관길 15 (남지리, 남지종합복지관)",T.055-526-1307,128.4828437,35.39177302
우포늪생태체험관,경남 창녕군 대합면 우포2로 370,T.055-532-0090,128.4212394,35.56595044
산토끼노래동산,경남 창녕군 이방면 이방로 623,T.055-533-1400,128.38358,35.57772354
창녕군청,경남 창녕군 창녕읍 군청길 1,T.055-530-1215,128.4925259,35.54387543
창녕군문화예술회관,경남 창녕군 창녕읍 우포2로 1189-25,T.055-530-1915,128.4909163,35.54452206
창녕군보건소,경남 창녕군 창녕읍 우포2로 1189-35,T.055-530-6275,128.4900535,35.54364673
창녕군사회복지타운,경남 창녕군 창녕읍 창녕대로 172,T.055-532-1304,128.5013533,35.53150094
마산합포구청,경남 창원시 마산합포구 3·15대로 210,T.055-220-4113,128.5678632,35.19695364
마산보건소동마산보건지소,경남 창원시 마산합포구 구암남14길 33,T.055-225-6054,128.6007747,35.25060383
롯데백화점마산점,경남 창원시 마산합포구 동서동로 18,T.055-240-6539,128.5734026,35.20147834
마산역,경남 창원시 마산합포구 마산역광장로 18,T.055-250-4434,128.5772188,35.23611093
이마트마산점,경남 창원시 마산합포구 서성로 3,T.055-711-1051,128.5699514,35.19788421
롯데마트마산점,경남 창원시 마산합포구 신마산시장길 33,T.055-230-2522,128.560733,35.18132394
창원시공동육아나눔터,경남 창원시 마산합포구 용마로 30,T.055-225-4056,128.5790911,35.21650017
창원시마산보건소,경남 창원시 마산합포구 월영동북로 15,T.055-220-5965,128.5574224,35.18994103
정부경남지방합동청사,경남 창원시 마산합포구 제2부두로 10,T.055-981-6307,128.5720993,35.19498665
신세계백화점마산점,경남 창원시 마산합포구 합포로 251,T.055-240-1055,128.5865897,35.21958322
대현프리몰창원,경남 창원시 마산회원구 3·15대로 758,T.055-292-7988,128.5828275,35.23878045
롯데마트삼계점,경남 창원시 마산회원구 내서읍 경남대로 927,T.055-719-5213,128.5040715,35.23302846
마산보건소내서읍보건지소,경남 창원시 마산회원구 내서읍 중리상곡로 69,T.055-225-6062,128.4995359,35.2457028
315아트센터,경남 창원시 마산회원구 삼호로 135,T.055-268-7914,128.5771062,35.22581845
홈플러스마산점,경남 창원시 마산회원구 삼호로 56,T.055-259-8005,128.5857161,35.22266688
NC다이노스야구장,경남 창원시 마산회원구 삼호로 63,T.010-5412-1159,128.582123,35.22245777
롯데마트양덕점,경남 창원시 마산회원구 삼호로 80,T.055-259-2801,128.5845662,35.22367234
성산도서관,경남 창원시 성산구 외리로 47,T.055-225-7398,128.7072398,35.20206396
이마트창원점,경남 창원시 성산구 원이대로 608,T.051-211-1234,128.680192,35.226804
롯데마트창원중앙점,경남 창원시 성산구 중앙대로 123,T.055-240-2521,128.6802766,35.225554
창원중앙역,경남 창원시 의창구 상남로 381,T.055-250-4427,128.7013302,35.24225267
창원경륜공단,경남 창원시 의창구 원이대로 450,T.055-239-1073,128.664671,35.2343
창원역,경남 창원시 의창구 의창대로 67,T.055-292-7788,128.6064995,35.25704115
창원시청,경남 창원시 의창구 중앙대로 151,T.055-225-7958,128.6813155,35.22843815
창원보건소,경남 창원시 의창구 중앙대로162번길 9,T.055-225-5783,128.6855335,35.22785367
홈플러스창원점,경남 창원시 의창구 창원대로 415,T.055-270-8124,128.6436154,35.23403656
뉴코아아울렛창원점,경남 창원시 의창구 창원대로397번길 6,T.055-270-7070,128.642192,35.23450642
의창구청,경남 창원시 의창구 태복산로15번길 8,T.055-212-4014,128.6399282,35.25394474
창원보건소건강증진센터,경남 창원시 의창구 팔용로451번길 8,T.055-225-5848,128.6131898,35.25743854
진해해양공원,경남 창원시 진해구 명동로 62,T.055-712-0425,128.73224,35.09673845
롯데마트진해점,경남 창원시 진해구 석동 543-5,T.010-6439-8936,128.6987712,35.15820788
진해도서관,경남 창원시 진해구 여좌동 795-1,T.055-225-7515,128.6674526,35.15245959
웅동2동주민센터,경남 창원시 진해구 용원동 1218-2,T.055-548-6832,128.814772,35.10115581
진해구청,경남 창원시 진해구 진해대로 1101,T.055-548-4015,128.7101584,35.13143212
홈플러스진해점,경남 창원시 진해구 충장로 356,T.055-540-8124,128.6911697,35.15320376
이마트통영점,경남 통영시 광도면 죽림4로 9,T.055-650-1055,128.4179999,34.88713388
롯데마트통영점,경남 통영시 무전대로 65,T.055-640-2501,128.4282383,34.86057825
통영시보건소,경남 통영시 안개4길 108,T.055-650-6145,128.4320134,34.8598077
충무도서관,경남 통영시 용남면 기호바깥길 7-87,T.055-650-2642,128.4205353,34.87320682
통영RCE세자트라,경남 통영시 용남해안로 116,T.055-650-7423,128.4501841,34.8515009
통영항여객선터미널,경남 통영시 통영해안로 234,T.055-650-6145,128.4202246,34.83979125
하동군공설운동장,경남 하동군 적량면 공설운동장로 207,T.055-880-2066,127.7775508,35.06387688
국민건강보험공단하동남해지사,경남 하동군 하동읍 경서대로 114,T.055-880-0113,127.7489373,35.06539302
하동역,경남 하동군 하동읍 경서대로 240 (비파리),T.055-884-7788,127.7585956,35.0710695
하동군보건소,경남 하동군 하동읍 군청로 31,T.055-880-6655,127.752745,35.06716382
함안군청,경남 함안군 가야읍 말산로 1,T.055-580-2233,128.4063546,35.27300077
함안군여성센터,경남 함안군 가야읍 말산로 25,T.055-585-2382,128.4095924,35.27347581
함안군보건소,경남 함안군 가야읍 중앙남4길 10,T.055-580-3024,128.4105842,35.27601321
함안군육아지원센터,경남 함안군 칠원읍 용산1길 28,T.055-586-7536,128.5174263,35.30885891
함양군보건소,경남 함양군 함양읍 한들로 141,T.055-960-4685,127.7317808,35.51967545
합천군보건소,경남 합천군 합천읍 동서로 39,T.055-930-3682,128.1567535,35.56792833
경산중앙교회,"경북 경산시 강변동로 358 (대평동, 경산중앙교회)",T.053-816-7000,128.7293743,35.84029563
